"#wordnet"
しみったれ,チープ
しらふ,白面
じい様,爺
じい様,爺さん
じい様,翁
じい様,老夫
じい様,老爺
じい様,老翁
すきっ腹,空腹感
すきま,空所
すきま,空間
すきま,隙
すき間,ギャップ
すき間,余地
すき間,空き
すき間,空所
すき間,空間
すき間,空隙
すき間,透き
すき間,隙
すそ,ボトム
すっ裸,丸裸
すべ,やり方
すり傷,掠り
すり傷,掠り傷
ずれ,不一致
ずれ,不整合
せき,シート
そしり,悪口
そしり,批難
そしり,誹謗
そしり,讒謗
そつ,落ち度
その辺,辺り
たかり,恐喝
たたずまい,雰囲気
たて穴,縦穴
ためらい,二の足
たわけ,ベラボウ
たわけ,愚人
たわけ,抜け
たわけ,痴人
たわみ,彎曲
たんま,タイム
ちび,子ども
ちび,小さい
ちびっ子,子ども
ちゃり,自転車
ちゃりんこ,自転車
ちゅう,キス
ちゅう,口づけ
ちょっとの間,一瞬間
ちょぼ,点
ちょん,点
ちょんぼ,間違い
ちんけ,劣等
つきあい,交わり
つぎ目,嗣子
つづり方,綴り方
つながり,係わり
つり舟,釣舟
つり船,釣舟
てんご,悪戯
できこと,出来事
でき事,イベント
でき事,出来事
とき,タイム
ところ,プレイス
ところ,プレース
ところ,場所
とっこ,騙り
とっさ,一瞬間
とっさ,瞬間
とりで,胸壁
どん底,奈落
どん底,最低
どん詰まり,エンド
どん詰まり,ラスト
どん詰まり,仕舞い
どん詰まり,終わり
ならず者,やくざ
ならず者,与太者
におい,臭い
にせ物,偽造品
にせ物,紛い
ねじれ,ツイスト
ねじれ,捩じれ
ねじれ,捩り
ねんねこ,御休み
のっけ,スタート
のろし,烽火
はた迷惑,傍迷惑
はやり,トレンド
はれ物,腫物
ばか者,愚人
ばか者,抜け
ばか者,痴人
ばくち打ち,渡世人
ばくち打ち,賭博師
ばら色,ローゼ
ぱくる,窃取
ぱくる,窃盗
ひいき,引き
ひいき,引き立て
ひいき,引立て
ひいき,愛顧
ひとそろい,セット
ひとまとまり,セット
ひとまとまり,一揃い
ひとまとまり,一揃え
ひな型,モデル
ひな形,モデル
ひび割れ,罅割れ
ひも,コード
ひもじさ,空腹感
ふざけ,悪戯
ぶどう酒,ワイン
べべ,ウェア
ほこり,ダスト
ほこり,塵埃
ぼやき,不平
まがいもの,偽造品
まがい物,偽造品
まぐさ,秣
まっ暗,真暗
まっ暗,闇黒
まる裸,丸裸
まわり道,回り道
まわり道,迂回路
むかつき,吐き気
むさい,ダーティ
むさい,ダーティー
めちゃ,ベラボウ
めちゃ,無理
めちゃ,目茶
めちゃ,目茶苦茶
めん棒,延べ棒
もつれ,紛糾
もつれ,縺れ
もと,発生源
もめ事,コンフリクト
