"#wordnet"
からくり,機関
がん,キャンサー
がん,癌腫
きず,欠点
きず,欠陥
きず,短所
くび,解雇
くび,首切り
くり返し,反覆
ぐうたら,懶惰
けり,結末
けん引,曳く
こと,事柄
こと,事象
ごまかし,外連
ごまかし,欺瞞
ごみ,塵
ごみ,塵芥
ごみ,屑
ごみ,屑物
ごみ,芥
ご令嬢,息女
ご免,解任
ご免,解職
ご法度,禁令
さだめ,運命
さつ,警察局
ざれ言,諧謔
しくじり,ペケ
しくじり,ポカ
しくじり,ミス
しくじり,失態
しくじり,失敗
しくじり,失策
しくじり,粗相
しくじり,落度
しくじり,誤ち
しくじり,誤り
しくじり,誤謬
しくじり,躓き
しくじり,過ち
しくじり,過失
しくじり,過怠
しくじり,過誤
しくじり,錯誤
しくじり,間違
しびれ,麻痺
しみったれ,吝嗇
しみったれ,安手
しもやけ,凍瘡
しゃっくり,吃逆
しらふ,白面
じい様,老夫
じい様,老爺
じい様,老翁
すきま,空所
すきま,空間
すき間,余地
すき間,空き
すき間,空所
すき間,空間
すき間,空隙
すき間,透き
すそ,ボトム
すっ裸,丸裸
すべ,やり方
すべ,仕様
すべ,手段
すみ,コーナー
すり傷,掠り
する,為る
ずれ,不一致
ずれ,不整合
ずれ,差
ずれ,差違
ずれ,違い
ずれ,食い違い
ずれ,齟齬
せき,シート
せき,座
せき,座席
せせらぎ,小川
そしり,悪口
そしり,批難
そしり,誹謗
そしり,讒謗
そつ,手抜かり
そつ,落ち度
そつ,落度
そつ,過失
その辺,辺り
たかり,恐喝
たくさん,一杯
たくさん,数多
たたずまい,風情
ただし書,但書
ただし書き,但書
たて穴,縦穴
ため,利得
ため,利益
ため,益
ため,目的
たわけ,愚人
たわけ,抜け
たわけ,痴人
たわみ,彎曲
ちび,子
ちび,子ども
ちび,子供
ちび,小さい
ちゃらんぽらん,与太
ちゅう,キス
ちょんぼ,ミス
ちょんぼ,失敗
ちょんぼ,失策
ちょんぼ,誤ち
ちょんぼ,誤り
ちょんぼ,誤謬
ちょんぼ,躓き
